id;ordered_date;is_expired;start_date;end_date;company_id;paket_detay_id
1;2020-02-15T19:43:21;false;2020-02-16T01:24:23;2020-02-15T19:57:12;1;1
2;2020-02-16T10:00:50;true;2020-02-16T07:34:59;2020-02-16T00:23:51;2;2
3;2020-02-16T07:25:36;false;2020-02-16T04:09:41;2020-02-15T20:33:05;3;3
4;2020-02-16T04:44:15;true;2020-02-15T17:44:07;2020-02-16T00:59:11;4;4
5;2020-02-16T12:09:40;false;2020-02-15T22:58:52;2020-02-16T09:58:24;5;5
6;2020-02-15T21:37:53;true;2020-02-16T07:32:33;2020-02-16T12:20:40;6;6
7;2020-02-16T05:46:19;false;2020-02-16T00:57:08;2020-02-16T08:08:28;7;7
8;2020-02-15T17:31:53;true;2020-02-15T17:30:33;2020-02-16T14:14:43;8;8
9;2020-02-16T07:07:53;true;2020-02-16T03:06:27;2020-02-16T13:01:20;9;9
10;2020-02-16T03:09:42;false;2020-02-15T15:53:51;2020-02-16T10:18:06;10;10
